Season,Episode,Character,Line
11,7,Randy,you wont make it through gerald
15,7,Kyle,alright guys do you think hes lying or telling the truth
1,8,Chef,stay close children
15,13,Kenny,woohoo
16,9,Kyle,oh no
10,1,Chef,oh
4,2,Chef,thats right and the only thing worse than doin drugs is dealin drugs im gonna tell you about when i was your age and got offered drugs
15,11,Sharon,randy slow down jesus christ
5,10,Butters,i tried to make a good picture honest
4,9,Cartman,if you would sir just watch this and prepare to be wowed
4,9,Kyle,wow there must be at least 20 people out there
4,16,Stan,well they cant be too pissed off i mean we made them a banner
2,15,Chef,children somewhere in south park something has created a door to the evil parallel universe
11,9,Randy,ill try but i dont think  wait wait wait wait a minute i gotta call jimbo first
18,9,Kyle,youre watching someone play call of duty and talk about it
3,17,Mr. Garrison,come on boys youre holdin up the bus  oh wow look its kenny g himself thank you for a wonderful concert mr g
16,13,Stan,people are saying that
17,1,Cartman,its too late for me butters i have to go to russia and live with the commie dwarfs
12,6,Randy,marsh
12,2,Kyle,a hundred thousand dollars
7,8,Mr. Garrison,well you know i was just thinking we could put on some music and watch videos and pound mr slaves tight little ass
1,12,Mr. Garrison,eric keep quiet im trying to sleep
10,2,Mr. Mackey,well from now on im only going to associate with other hybridcar drivers everyone else is just ignorant mkay
2,6,Stan,well what do you mean
13,6,Randy,sorry nobody in the world has seen anything uh what did this criminal alien do exactly
2,14,Stan,thanks dude
10,2,Stan,what
5,6,Cartman,im not keeping it mr garrison im spending it
4,13,Cartman,and now it can use wellington bear calculator too
2,4,Mr. Mackey,okay now children has that marijawana made it around yet  uhh whowho has the marijawana now  ummm okay whoewhoever has the marijawana just pass it up to the front row mkay  uhoh
6,10,Butters,yeah
7,15,Kyle,youre not gonna die kenny dont be stupid
15,14,Kenny,ill be there karen
6,5,Chef,so im supposed to press menu then function then enter
7,12,Sharon,what are you talking about
13,9,Mr. Garrison,alright children i want you to copy down these math problems and solve them before recess
11,8,Butters,uh hey eric
16,2,Cartman,oh i dont know i guess ill take that ring there
10,2,Mr. Mackey,but hybrid cars are the leading cause of smug mkay
13,4,Mr. Garrison,theyre just the same as you and me their rights must be preserrrrrrrrrved
7,1,Chef,hello doctor thanks for seein eric on such short notice
17,3,Cartman,nah
8,4,Chef,all right now where did you get served
4,17,Stan,we dont know anything about animation
16,8,Randy,oh theyd love it a sport where safety is all that matters how about we call it sarcastaball
3,7,Mr. Mackey,mhm mkay
16,6,Kenny,beavers
14,5,Mr. Garrison,eric this is silly why dont we just stop
1,12,Chef,uh i dont know ihih it was just a runor
2,12,Stan,but i dont understand why we have to
16,1,Mr. Garrison,hey yeah if theres no toilet seats the government cant make toilet seat laws
1,4,Stan,no thanks ive gotta get back for the big football game come on boy
5,2,Sharon,what a brave little boy
12,3,Kenny,the titties oh my god they were incredible
10,8,Stan,dad dad
1,2,Chef,yeahyeh oh whatever but the mayor just called and asked me to sing at the ceremony
1,7,Chef,doctor
2,15,Chef,of course thats it
3,1,Kenny,no its kenny
5,8,Kyle,yeahyeah mom ii cant go to the lake no sstans having emotional problems and i need to help see him through it hes got  whawhat is it
6,4,Cartman,okay all set
18,7,Kyle,nono after we found cartman i put the headset on and then
1,6,Stan,dammit you know i think that if parents would spend less time worrying about what their kids watch on tv and more time worrying about whats going in in their kids lives this world would be a much better place
12,11,Randy,you cant help him
14,10,Mr. Mackey,okay
7,12,Sharon,what are you talking about
4,6,Mr. Garrison,eat me pervert
4,12,Mr. Garrison,yeah it feels really good
6,16,Randy,aaahhh oh my god look  what his hand did disappear he is you from the future
14,5,Randy,okay how bout like like a big mascot outfit one that covered him completely head to toe without even showing his eyes
17,8,Kyle,its not enough ever since kenny switched sides there are more kids that wanna go with ps4 on black friday
4,4,Kyle,phil collins is playing lalapalalas and because were all doing so well in school now our parents said they would take us
3,15,Kyle,i made you out of clay
1,13,Mr. Mackey,oh hell yes
10,13,Cartman,yeah well you can go fuck yourself
2,11,Mr. Mackey,eric you really saved the day mkay
3,9,Kenny,what the fuck is that
2,6,Kyle,how do you know you werent even there
11,2,Cartman,fine whatever you guys dont have any proof i put butters wiener in my mouth it will be your word against mine and we all know that everyone trusts me way more than you guys  you guys please dont tell anybody
3,5,Mr. Garrison,damnit you dont raise your hand if you dont know
18,8,Randy,hey kids are we having fun  oh whered my hat go anyone see my hat
17,5,Mr. Mackey,students i would like to introduce you all to the future  mkay starting today our school will be operating entirely on intellilink  now whenever you need to see the school nurse or talk to me your counselor you can simply sign up using this simple integrated portal  mkay  you can use a computer or any of the intellilink panels which are located throughout the school  lats say youre in the cafeteria mkay you start cougin up blood and need to see the nurse you just click on school clinic mkay see nurse mkay respiration problems  uh okay i must have i must have been in the wrong menu uhkay as you can see you can control the sound system as well okay  its all integrated and smartlinked and this is a great idea mkay lets look at the message board  mesage board  here you can easily write messages to each other or to the faculty mkay for instance  here we go heres a message from kyles little brother ike broflovski  okay little ike says my brother is a homo ike made a little drawing of his brother too  drew a nice picture with a nice bird hangin off kyles forehead mkay thats nice  its a nice crane a nice whoopin crane comin off kyles head there
5,3,Stan,oh my god theyve killed kenny
13,1,Kyle,you want tammy to give you a bj
4,17,Kyle,and ill stand
5,1,Mr. Garrison,hey there shitty shitty fag fagshitty shitty fag fag how do you dohey there
12,1,Butters,oh uhokay its clear
8,8,Randy,your vote still mattered
2,5,Chef,whoahohoho great shot pip
18,5,Kenny,uh huh
2,4,Mr. Mackey,why mr freely
3,17,Kenny,yeah
9,13,Kyle,no please we have to go
14,8,Kenny,aaaaaaaaaaaaaa
3,10,Kyle,yeah you know like lauren hill aight
2,12,Sharon,randy will you please come get my wedding ring out of the sink
6,10,Mr. Mackey,mkay very nice clyde uh token why dont you read your paper
13,14,Butters,please kyle i wanna go home
14,3,Randy,i know theyre pretty swollen kinda hurts im gonna buy some more weed
7,4,Mr. Mackey,and now wed like to bring out a couple of very special south park students who did a report on what the founding fathers would have to say about the war
14,14,Stan,dad youre a geologist what about your real job
11,14,Kyle,i got voted the ugliest boy in the whole class
3,17,Mr. Mackey,mkay mr hat you need to let me talk to mr garrison mkay
17,9,Kenny,tadaima
2,17,Cartman,what
10,14,Randy,take the shot take the shot  nooooooooooo
6,14,Mr. Garrison,ogh okay so now can i please get fired and get my 25 million dollars
5,1,Chef,scuse me do you work here
7,6,Kenny,pakew pakew
1,8,Chef,today you fight for your city you fight for your honor these turkeys will continue to push until they have taken everything from us these fudged up turkeys from the the crustaceous era can take our lives but they can never takeour freedom
3,12,Cartman,outside the snow is falling and friends are calling youhoo
16,5,Mr. Mackey,oh hes a little anonymous andy
4,9,Kyle,it was
9,11,Cartman,"no he was just telling me about something funny that happened at school yesterday um oh but anyway ohhh oh wow i cant believe how great it feels to finally love my fellow man huh isnt this great you guys we sure have been throgh a lot but in the end we all learned its best to get along
hand in hand we can live together ginger or not were all the same
black or white brown or red we shouldnt kill each other cause its lame come on guys
hand in hand we can live together"
2,13,Kenny,huhuh i aint gonna get inside that ring aaah
5,1,Stan,holy shit
9,1,Mr. Garrison,do i look like a woman
1,4,Stan,hes part doberman and part wolf hes the toughest dog on the mountain
8,9,Kyle,yeah weve come to complain we dont want a wallmart in our town
7,3,Mr. Mackey,you all get two weeks of detention except eric who gets one week for being brave
4,9,Chef,aand a cucumber in the pants never hurt either
2,10,Kyle,what the hell does that have to do with american history
9,9,Butters,you mean it
18,10,Cartman,hes such a douchebag
12,1,Cartman,fuck you jimmy buffett you fuckin suck
12,6,Randy,good idea  no wait we cant check drudge report theres no internet
7,8,Mr. Garrison,one of you  weve spent our whole lives tryin not to be one of you you cant do this to us
17,8,Butters,whatoyou mean
10,9,Cartman,mr mackey i think you might want to entertain that this is some kind of conspiracy just like 911
14,5,Randy,alright the limos here muhammad thanks again for doing this
2,7,Stan,dude she always tries to quiet us down by threatening to kill that bunny but i wonder if she ever would
5,1,Cartman,jeez youre a little irritable kyle whats the matter you got some sand in your vagina
16,12,Randy,wuhy why isnt anyone showing up  its halloween night people should be renting spooky movies  whats happened to the world things used to be so simple  good evening fine sir i would like to rent a movie
1,5,Cartman,eh its okay fluffy nobodys going to hurt you
3,2,Kyle,how come youre not dead yet cartman
8,13,Stan,cartman thinks he can fly off of his roof
16,7,Cartman,i never wanna see you again  take your sunshine and frakin die
6,1,Butters,uh perfect
13,1,Kyle,you want tammy to give you a bj
15,10,Mr. Mackey,all we were tryin to do was keep another one of our students from killing themselves were not bad
6,16,Butters,boy it sure is stinky in here
3,3,Chef,no no we just sat there all night long and taaalked
18,4,Sharon,oh no i cant watch
1,9,Mr. Mackey,right now youre nuttier than chinese chicken salad mkayi mean youre one screwedup little kid do you understand
6,11,Sharon,now stanley
9,11,Kyle,nah let him make a complete ass out of himself for a little while longer
6,4,Stan,what are they doing here
6,17,Stan,were here
14,1,Butters,me i just well i just cant stop thinking about bush
18,1,Butters,happy deadline day
9,2,Mr. Mackey,uh huh hi eric uh hows it goin
2,7,Kenny,hey you guys remember when terrance and phillip was off the air
6,12,Randy,no agh look i i think maybe this has gone on far enough
2,18,Stan,gorak is busy freezing himself again dick
4,12,Mr. Garrison,look you cant counter a profane command with an idle threat you must extinguish it with a vulgar suggestion when a child says suck my balls you say present them
1,5,Cartman,be a man stan  just say hey woman yeyou shut your mouth and make babies
5,1,Mr. Mackey,oh i dont really give a shit ive done enough shit outside today and shit
1,13,Mr. Garrison,i am not gay
5,10,Stan,what
7,4,Sharon,boys you were supposed to come out here and tell everyone about the founding fathers
9,12,Randy,come on mr cruise this is ridiculous
18,2,Mr. Mackey,thats probably gluten mkay
13,9,Mr. Garrison,alright children i want you to copy down these math problems and solve them before recess
11,5,Kyle,happy easter jesus
3,17,Mr. Garrison,mr mackey um i cant go to arkansas somebodys gonna have to fill in for me
2,10,Sharon,and then the doctor said that its much worse as you get older my daughter is in pretty bad shape now but if she were in her twenties she could die
14,8,Stan,why not
17,10,Butters,no way go back to annie nelson shes built like a slim jim
1,7,Kyle,it looks like a ufo
7,10,Cartman,no but we can sneak into town and shut down their food supply  here
5,13,Kyle,i i know its tough but  look at me  i know its tough okay i know but we have to be tough right now
2,4,Kyle,what do you want
6,15,Stan,thats us come on
6,4,Butters,hear hear
2,18,Kenny,well i think you guys should name it steve
2,7,Sharon,run away
16,6,Stan,four days ago i came across a brochure for ziplining  i thought it would be fun i only acted like it was an idea we all came up with together
2,2,Chef,i actually was with meredith baxterbirney in this very car and afterwards we used that towel to  wait a minute why am i telling you this
6,6,Butters,well i had another idea of how to kill the world but i thought it was almost too horrible to e to even speak of but  but now they have left me with no other choice
8,5,Butters,hey look over there awesomo the film studio commissary  thats where all them rich movie producers who come up with uh hollywood blockbusters have their lunch neato huh
7,8,Mr. Garrison,not not like that
7,2,Butters,wwwell because he got crippled but now he can move his finger he is an inspiration to us all thats why everyone ditched on your show
4,9,Randy,let em be pissed off then
7,6,Butters,yeah i was up there poundin my wiener for two days straight aaand finally i thought about stans moms boobs and this little tiny spooge of this white stuff came out
6,7,Butters,ah ive done it general disarray ive completed my most horrible deed to date
2,12,Kenny,uh huh
13,12,Kenny,meee toooo
12,13,Mr. Mackey,just a minute to go in the first quarter
4,8,Mr. Garrison,ogh youre such a racist bastard mr hat
7,11,Cartman,im not kyle i know you already told butters he could go
2,12,Stan,how do we do it
1,6,Mr. Garrison,children children a certain students mother called me last night
7,5,Cartman,jeh
5,9,Kenny,oh shit were locked in
7,6,Mr. Garrison,right but who was the fattest oldest skank on her period  thats what i thought now pay attention  okay children now the biggest fatass was an old skank by the name of
11,9,Randy,it wasnt bigger than mine was
4,1,Mr. Mackey,nnum mkay uh ive already taken care of it eric cartman here is gonna be punished with two weeks of detention
17,2,Kyle,you know why because were trying to keep our parents from watching murder porn
4,12,Chef,oooo call the doctor
2,12,Sharon,oh randy i do love you but now im so confuseduh im living with roy and i dont know how to break it off with him
3,10,Stan,yeah dude dont you know its all about the chinpokomon video game now did you bring your special chinpokomon game controller
15,2,Stan,whats the matter jimmy you still seem bummed
4,15,Kyle,oh youre doing it or else were gonna bust your whole scheme wide open and tell your mom you havent actually been at your drug rehab this whole time
10,9,Kyle,where did you hear that
5,1,Cartman,jeez youre a little irritable kyle whats the matter you got some sand in your vagina
5,8,Kenny,aw goddamnit
10,3,Stan,to los angeles
6,13,Stan,yeah butters my parents now the sixth graders
5,12,Mr. Garrison,look theres more of them moving into our town  you know oprah winfrey is building a house up on cannon and some snoop doggy doo doo buildin a gigantic place up on main
7,4,Mr. Mackey,dont you call us unamerican this country was founded on the right to protest mkay
5,12,Mr. Garrison,no we just havent scared them the right way think about it what scares rich people more than anything
16,4,Cartman,no way jesus was son of god huh butters
12,7,Stan,sounds like police sirens
4,3,Sharon,well of course you can come in out of the snow
17,9,Kyle,dude i know youre pissed at me right now youve gotta understand that i did it because i know in my heart that the xbox is better for all of us
7,14,Butters,bye bye darling  wow a reallife relationship
4,1,Butters,well all that time we didnt understand what a unique and magical ass it was
12,9,Cartman,oh wendy such a desperate attempt to get out of it these students are a little too smart to see youre just making excuses not to fight me
17,5,Kyle,ike i dont care if you wanna grow up i just wanna be by your side while you do it
3,3,Chef,oh hello there children
16,4,Butters,jesus is a lie
18,9,Randy,no i dont iggy i just think that our younger girl fans need something a little more positive as role models
15,3,Mr. Mackey,wokay in fifteen fucking minutes you all are not gonna care about this anymore so ill just say what i need to say that was the worst rehearsal we have ever had we are two days away from opening and youre all fuckin around
17,2,Randy,ive tried its not like other video games i really dont get it it was all retro and like legos but then a bunch of kids online called me a griefer and kicked me off
4,7,Kenny,i know
11,5,Randy,are you sure son once you hear the secret you will be bound to the hare club for men forever
4,7,Sharon,oh thats great news
1,12,Cartman,i dont remember
5,14,Butters,i sure did  dad sure had a nice night out
7,14,Butters,go ahead and have a seat guys ah ive gotta go and find lexus
2,4,Mr. Mackey,boys are you paying attention
5,7,Chef,nope just 17
3,16,Sharon,well thats good honey
2,2,Mr. Garrison,then who was it
16,8,Randy,oh yeah ive totally got time to do that sharon in fact how about i go downstairs and make a fourcourse meal for all of you check that a sevencourse meal
4,12,Stan,dude it looks like hes been all over time he must have such cool stuff to tell us
1,1,Cartman,shut up
1,13,Kyle,did you send the videotape to americas stupidest home videos
5,3,Stan,then what are we going to do
3,1,Kenny,no its kenny
17,6,Kyle,if you knew something but you couldnt tell anyone what what would you do
7,1,Chef,what the hell is that
18,2,Mr. Garrison,its just the new diet fad
6,4,Stan,well stay in this room with these baby cows for as long as it takes
5,1,Chef,oh
17,1,Cartman,thatd be what
18,7,Butters,what
2,3,Randy,well according to that sign right there its 40 miles an hour
1,3,Randy,and my calculations worked the lava is following the trench into the canyon
16,5,Cartman,still balls
2,12,Mr. Mackey,okay uh uh uhapparently we have a bit of a communication problem here uh mr marsh tell me how youre feeling
2,8,Mr. Garrison,mr hat isnt real
6,1,Chef,hello there children
12,1,Butters,wow you really know what youre doing
4,6,Kyle,dude being mature is boring
12,9,Mr. Mackey,wendy
4,3,Sharon,what should we do randy i like these romanians fine but i hope that old woman isnt planning on staying here much longer
5,1,Kyle,im going to the kitchen this is stupid
10,1,Cartman,im gonna miss him  im gonna miss chef and iand i dont know how to tell him
10,9,Mr. Mackey,why clyde why did you do it
4,6,Kenny,come here mom let me get it
4,9,Mr. Mackey,oh yeah that makes me hot mkay
10,8,Randy,okay
17,5,Mr. Mackey,well it sounds like hes hittin puberty
8,5,Butters,dont be silly awesomo robots dont need to drink nothin  uh heehee  whoa uh go answer the door awesomo
12,3,Mr. Mackey,schoolchildren are often experimenting with dangerous ways to get high hmkay like sniffin glue guzzlin cough medicine huffin paint hmkay but theyre all bad mkay
10,1,Chef,goodbye 
8,1,Stan,yeah that it cartman you dont get to have any powers
1,4,Kenny,oh my god i think theyre screwing
1,4,Mr. Garrison,eric stanley just might lead our team to victory against the middle park cowboys for the first time in decades and we treat star athletes better cause theyre better people
1,8,Chef,today you fight for your city you fight for your honor these turkeys will continue to push until they have taken everything from us these fudged up turkeys from the the crustaceous era can take our lives but they can never takeour freedom
10,2,Mr. Mackey,its like you had a guardian angel mkay
11,9,Randy,really yuh you mean really  hey stan i uh hey sharon hey everybody
1,13,Chef,nawh im new in town
1,13,Mr. Garrison,you dont count halfyyou dont have any legs
18,9,Kyle,come on
9,14,Randy,the guy behind him is blind there he goes cmon cmon go go go
4,7,Sharon,enough stanley
15,11,Sharon,why does it matter
1,3,Kyle,shut up cartman you cant scare anybody
10,2,Mr. Mackey,its simply asking too much
2,9,Chef,hello there children
8,9,Kyle,why the hell would you want three copies of the same movie
18,1,Butters,another two dollars
16,12,Randy,okay
2,13,Cartman,okay ill get on the bull
3,1,Kenny,okay i can do that  christ
15,1,Kyle,hey hey let me out of here this is a mistake i agreed by accident
9,5,Sharon,randy dont
12,7,Cartman,ready go
2,15,Sharon,yes hon i had to restrain him so he wouldnt find the bodies in the back yard and take our baby away
4,9,Kenny,uff
9,11,Cartman,"no he was just telling me about something funny that happened at school yesterday um oh but anyway ohhh oh wow i cant believe how great it feels to finally love my fellow man huh isnt this great you guys we sure have been throgh a lot but in the end we all learned its best to get along
hand in hand we can live together ginger or not were all the same
black or white brown or red we shouldnt kill each other cause its lame come on guys
hand in hand we can live together"
2,14,Chef,what the hell is this
3,17,Mr. Garrison,he never did mom and i think you knew he never did
17,3,Cartman,yeah token thats the law everything inside the red line is lava
8,1,Stan,yeah dude our parents are gonna be at the stupid fair all day long theyll never know what we bought  ill get the tonfas  those are so sweet
3,3,Chef,you see everythings gonna be fine now how about i meet you boys after work and we can play ball
7,6,Butters,ow ow its not workin
15,7,Sharon,what does our son turning 10 have to do with you making the same mistakes again and again
3,9,Kyle,kyle broflovski
10,10,Stan,dude whats the matter
18,9,Mr. Garrison,what the hell is that
3,14,Mr. Garrison,ill bet we could
15,11,Randy,i do respect you bro
7,9,Stan,i cant take this much longer maybe were just not cut out to be in a band
1,9,Mr. Garrison,so kenny would you please go over and pull the lights cords out of the wall  careful now kenny those are very very dangerous  okay  now lets practice our
17,6,Kyle,yummy yummy i want your farts in my tummy
6,12,Stan,yeah well people make us kids believe that heaven is this white place with fluffy clouds and angels
9,2,Cartman,let me guess theyve started a hippie jam band music festival
16,12,Randy,haarrrr
11,1,Cartman,ohhhhhhhh
15,10,Cartman,do you really think information like this will just die down theres internet theres eavesdropper you might be worried pete melman is gonna kill himself but the truth is he was dead the second he crapped his pants
10,6,Stan,cartman stop hogging the goddamned ball
4,12,Mr. Garrison,nooo
2,13,Kenny,all right i know
6,15,Chef,hi pop
13,14,Kyle,not in pee
4,8,Mr. Mackey,oh yeah
1,9,Mr. Mackey,now i also understand that youre jewish is that right kyle
9,2,Sharon,you ate too much acid man
17,10,Mr. Mackey,mokay
3,4,Kenny,why
4,4,Chef,yes you can what the hell are you two doin prescribing all the children ritalin
12,9,Mr. Garrison,and be ready for a quiz tomorrow morning
8,1,Stan,we cant tell you where we got em its secret ninja stuff
17,8,Kenny,you can change your mind instead of fighting with us eric
4,10,Kenny,what
3,5,Mr. Mackey,jakovasaurs kinda piss me off mkay
7,10,Cartman,no but we can sneak into town and shut down their food supply  here
9,8,Kyle,we cant get out the flames are too big
5,7,Mr. Garrison,yes good flora you remembered the filthy sanchez
2,15,Sharon,yeah stan just got a new goldfish and he wanted to show it to kenny but kenny never came over
2,14,Chef,now all you do is put this paper bag over your head and it increases your sexual pleasure
2,3,Kenny,oh it was only my jacket
6,5,Cartman,woohoo
7,8,Chef,oh well we black people just always tried to stay out in front of them
1,5,Kyle,theres no jews in san francisco you retard
16,10,Cartman,oh no really
15,10,Mr. Garrison,and now number 17 many of you got wrong as well the correct answer was d whales are mammals
4,12,Mr. Mackey,after being dismissed from teaching he went off to write romance novels his first novel sold well and everything was fine until he found out that his novel won the gay pulitzer prize and was considered the best homoerotic novel since huckleberry finn
13,1,Kenny,woohoo
3,9,Kyle,it is not stupid kenny this is my faith and you shouldnt make fun of it
14,8,Kenny,being poor has nothing to do with nascar
5,13,Mr. Mackey,we know and thats why hes going to need you boys to be strong for him mkay he needs you now more than ever
9,2,Chef,im alive
3,17,Mr. Garrison,i know i wanna know why not
3,9,Kenny,haaarrrrrh  huh
11,11,Kyle,i didnt think there was going to be a goddamned leprechaun
7,1,Chef,hello doctor thanks for seein eric on such short notice
15,10,Mr. Mackey,well i think youre being very mature about this eric it was an overly generous move to give all the faculty those cupcakes i wanna thank you mkay
15,5,Kyle,so then where did the eight hundred dollars we made from selling an internet ad to payless shoe source go
1,7,Stan,for shocking people who try to give us granola treats or something
4,8,Chef,i think thats a much better start than me tryin to separate myself from all you wonderful crackers
18,7,Butters,yes
14,4,Stan,aw dad i just really dont wanna pay attention to this thing
2,15,Chef,well whats the first problem
5,7,Mr. Mackey,i want you mkay
12,3,Mr. Mackey,schoolchildren are often experimenting with dangerous ways to get high hmkay like sniffin glue guzzlin cough medicine huffin paint hmkay but theyre all bad mkay
1,2,Mr. Garrison,okay bebe this is your line
4,7,Stan,well its my friend kyle i think hes really really sick
4,4,Cartman,so its decided phil collins concert for all of us  hooray  oh oh hold still kenny
17,2,Sharon,diamonds  theyre beautiful
18,2,Mr. Mackey,im just sayin that i personally feel sooo fuckin amazing
17,5,Mr. Mackey,well ih its good to be a little defensive around you miles mkay lets lets not forget that your wife died of an accident while you were drinking on a hike nkay
1,12,Chef,too late for what
8,9,Chef,get out its gonna blow
2,15,Randy,sharon
17,5,Mr. Mackey,alright i can do a lookup for the name uh go back main menu  oh damnit okay now back  set no set appointment okay speakers off  okay uh okay what is your smart name kyle
13,9,Butters,hey fellers fellers do you like gettin kisses cause i know a girl thatll give you a great kiss for just five dollars
3,17,Mr. Garrison,aaaaaah  huhh ohh
4,15,Kenny,nuh uh
16,13,Mr. Mackey,anyway thanks stan and you know just keep on keep on standing your ground okay
12,8,Stan,lets just go lets just go
15,9,Butters,hey you fellas think you can get me across that border
16,9,Kyle,oh no
15,10,Mr. Mackey,well students why dont we uh  oooh oh gee uh
13,3,Kyle,dont even start dont even start cartman
15,5,Kyle,lots of people will when i tell them
14,1,Kenny,yeah dude i fucked you up
3,8,Sharon,oh im not hottubbing i have nothing to wear
13,14,Butters,yeah if anything you should wash your hands before you touch your weiner
2,9,Chef,well perhaps youd like to try my lowcalorie cookies go fudge yourself or my allnatural i dont really give a flying fudge
15,7,Kyle,alright guys do you think hes lying or telling the truth
14,14,Randy,the school was hiring and i got the job isnt that great
1,4,Mr. Garrison,what what the hell are you talking about i am not gay
1,13,Chef,damn woman whats gotten into you
15,8,Mr. Garrison,sit down boys well talk about this later right now were talking about vaginal warts
12,12,Randy,yes i can yes i can
4,13,Mr. Garrison,alright children as you know weve been waiting for the absent kids ballot to come in well his mother was nice enough to bring him in from the hospital so that he could cast his vote ms harris  thank you very much billy dont forget to pick up your lung  alright the absent kids ballot is for  filmore
9,11,Cartman,red power
9,8,Mr. Mackey,so does does this mean the storm is past global warmings over
1,10,Chef,oh god in heaven what have i done
1,6,Sharon,now blow out the candles grampa  hurray
15,13,Kenny,yeah thats true
7,11,Cartman,hah  its wednesday its wednesday  only three more days till casa bonita  oh that would be so badass
2,12,Sharon,truth
7,6,Kenny,woohoo
16,13,Mr. Mackey,wuughhhuh where do i go what do i do
3,1,Mr. Mackey,sorry im late
7,13,Mr. Mackey,well hey if i didnt know any better id think you boys have been smoking
10,9,Kyle,dude
2,11,Mr. Garrison,was he on the school bus this morning
3,2,Cartman,oh goddamnit urh you guys you guys wanna hear my i hate stand and kyle song ahemi hate stan and kylei seriously hate stan and kyle
14,9,Kyle,what are you saying
6,16,Randy,right thats mothers intuition you cant argue with that no stan i think the only way youre gonna get of him is by staying clear of drugs and alcohol
8,9,Kyle,why the hell would you want three copies of the same movie
11,6,Cartman,why the hell would we pay you to write your friends
1,12,Chef,uh i dont know ihih it was just a runor
4,13,Kyle,yeah but hes some kind of genius so hes getting advanced placement in kindergarten
11,9,Randy,sharon this is important stan go call your uncle jimbo im gonna stand guard
1,11,Mr. Garrison,children i have a very important announcement to make  im quitting my job as a teacher
3,15,Kyle,i made you out of clay
